Yr,Mn,co2,co2_normalize
1958,7,315.87,0.029371817
1958,8,314.93,0.02139219
1958,9,313.21,0.006791171
1958,10,312.41,0
1958,11,313.33,0.007809847
1958,12,314.67,0.019185059
1959,1,315.58,0.026910017
1959,2,316.49,0.034634975
1959,3,316.65,0.035993209
1959,4,317.72,0.045076401
1959,5,318.29,0.04991511
1959,6,318.15,0.048726655
1959,7,316.54,0.035059423
1959,8,314.79,0.020203735
1959,9,313.84,0.012139219
1959,10,313.33,0.007809847
1959,11,314.81,0.020373514
1959,12,315.58,0.026910017
1960,1,316.43,0.034125637
1960,2,316.98,0.038794567
1960,3,317.58,0.043887946
1960,4,319.03,0.056196944
1960,5,320.03,0.064685908
1960,6,319.58,0.060865874
1960,7,318.18,0.048981324
1960,8,315.9,0.029626486
1960,9,314.17,0.014940577
1960,10,313.83,0.012054329
1960,11,315,0.021986418
1960,12,316.19,0.032088285
1961,1,316.89,0.03803056
1961,2,317.7,0.044906621
1961,3,318.54,0.052037351
1961,4,319.48,0.060016978
1961,5,320.58,0.069354839
1961,6,319.77,0.062478778
1961,7,318.56,0.052207131
1961,8,316.79,0.037181664
1961,9,314.99,0.021901528
1961,10,315.31,0.024617997
1961,11,316.1,0.031324278
1961,12,317.01,0.039049236
1962,1,317.94,0.046943973
1962,2,318.55,0.052122241
1962,3,319.68,0.061714771
1962,4,320.57,0.069269949
1962,5,321.02,0.073089983
1962,6,320.62,0.069694397
1962,7,319.62,0.061205433
1962,8,317.4,0.042359932
1962,9,316.24,0.032512733
1962,10,315.42,0.025551783
1962,11,316.69,0.036332767
1962,12,317.7,0.044906621
1963,1,318.74,0.053735144
1963,2,319.07,0.056536503
1963,3,319.86,0.063242784
1963,4,321.38,0.07614601
1963,5,322.24,0.08344652
1963,6,321.49,0.077079796
1963,7,319.74,0.062224109
1963,8,317.77,0.045500849
1963,9,316.21,0.032258065
1963,10,315.99,0.030390492
1963,11,317.07,0.039558574
1963,12,318.35,0.050424448
1964,1,319.57,0.060780985
1964,2,320.04,0.064770798
1964,3,320.76,0.070882852
1964,4,321.84,0.080050934
1964,5,322.25,0.083531409
1964,6,321.9,0.080560272
1964,7,320.44,0.068166384
1964,8,318.69,0.053310696
1964,9,316.71,0.036502547
1964,10,316.87,0.037860781
1964,11,317.68,0.044736842
1964,12,318.71,0.053480475
1965,1,319.44,0.059677419
1965,2,320.44,0.068166384
1965,3,320.89,0.071986418
1965,4,322.13,0.082512733
1965,5,322.17,0.082852292
1965,6,321.88,0.080390492
1965,7,321.21,0.074702886
1965,8,318.87,0.05483871
1965,9,317.82,0.045925297
1965,10,317.3,0.041511036
1965,11,318.87,0.05483871
1965,12,319.42,0.05950764
1966,1,320.62,0.069694397
1966,2,321.6,0.078013582
1966,3,322.39,0.084719864
1966,4,323.7,0.095840407
1966,5,324.08,0.099066214
1966,6,323.75,0.096264856
1966,7,322.37,0.084550085
1966,8,320.36,0.067487267
1966,9,318.64,0.052886248
1966,10,318.1,0.048302207
1966,11,319.78,0.062563667
1966,12,321.02,0.073089983
1967,1,322.33,0.084210526
1967,2,322.5,0.08565365
1967,3,323.03,0.090152801
1967,4,324.41,0.101867572
1967,5,325,0.106876061
1967,6,324.09,0.099151104
1967,7,322.54,0.085993209
1967,8,320.92,0.072241087
1967,9,319.25,0.058064516
1967,10,319.39,0.059252971
1967,11,320.73,0.070628183
1967,12,321.96,0.08106961
1968,1,322.57,0.086247878
1968,2,323.15,0.091171477
1968,3,323.89,0.097453311
1968,4,325.02,0.10704584
1968,5,325.57,0.111714771
1968,6,325.36,0.109932088
1968,7,324.14,0.099575552
1968,8,322.11,0.082342954
1968,9,320.33,0.067232598
1968,10,320.25,0.06655348
1968,11,321.32,0.075636672
1968,12,322.89,0.088964346
1969,1,324,0.098387097
1969,2,324.41,0.101867572
1969,3,325.63,0.112224109
1969,4,326.66,0.120967742
1969,5,327.38,0.127079796
1969,6,326.71,0.12139219
1969,7,325.88,0.11434635
1969,8,323.66,0.095500849
1969,9,322.38,0.084634975
1969,10,321.78,0.079541596
1969,11,322.85,0.088624788
1969,12,324.11,0.099320883
1970,1,325.06,0.107385399
1970,2,325.99,0.115280136
1970,3,326.93,0.123259762
1970,4,328.13,0.13344652
1970,5,328.08,0.133022071
1970,6,327.67,0.129541596
1970,7,326.34,0.118251273
1970,8,324.68,0.104159593
1970,9,323.1,0.090747029
1970,10,323.06,0.09040747
1970,11,324.01,0.098471986
1970,12,325.13,0.107979626
1971,1,326.17,0.116808149
1971,2,326.68,0.121137521
1971,3,327.18,0.125382003
1971,4,327.78,0.130475382
1971,5,328.93,0.140237691
1971,6,328.57,0.137181664
1971,7,327.36,0.126910017
1971,8,325.43,0.110526316
1971,9,323.36,0.09295416
1971,10,323.56,0.094651952
1971,11,324.8,0.105178268
1971,12,326.01,0.115449915
1972,1,326.77,0.121901528
1972,2,327.63,0.129202037
1972,3,327.75,0.130220713
1972,4,329.72,0.146943973
1972,5,330.07,0.14991511
1972,6,329.09,0.141595925
1972,7,328.04,0.132682513
1972,8,326.32,0.118081494
1972,9,324.84,0.105517827
1972,10,325.2,0.108573854
1972,11,326.5,0.119609508
1972,12,327.55,0.12852292
1973,1,328.55,0.137011885
1973,2,329.57,0.145670628
1973,3,330.3,0.151867572
1973,4,331.5,0.162054329
1973,5,332.48,0.170373514
1973,6,332.08,0.166977929
1973,7,330.87,0.156706282
1973,8,329.31,0.143463497
1973,9,327.52,0.128268251
1973,10,327.19,0.125466893
1973,11,328.17,0.133786078
1973,12,328.65,0.137860781
1974,1,329.36,0.143887946
1974,2,330.71,0.155348048
1974,3,331.49,0.16196944
1974,4,332.65,0.171816638
1974,5,333.1,0.175636672
1974,6,332.26,0.168505942
1974,7,331.18,0.159337861
1974,8,329.4,0.144227504
1974,9,327.44,0.127589134
1974,10,327.38,0.127079796
1974,11,328.46,0.136247878
1974,12,329.58,0.145755518
1975,1,330.41,0.152801358
1975,2,331.41,0.161290323
1975,3,332.04,0.16663837
1975,4,333.32,0.177504244
1975,5,333.98,0.183106961
1975,6,333.62,0.180050934
1975,7,331.91,0.165534805
1975,8,330.06,0.149830221
1975,9,328.56,0.137096774
1975,10,328.35,0.135314092
1975,11,329.5,0.145076401
1975,12,330.77,0.155857385
1976,1,331.76,0.16426146
1976,2,332.58,0.171222411
1976,3,333.5,0.179032258
1976,4,334.59,0.188285229
1976,5,334.89,0.190831919
1976,6,334.34,0.186162988
1976,7,333.06,0.175297114
1976,8,330.95,0.157385399
1976,9,329.31,0.143463497
1976,10,328.95,0.14040747
1976,11,330.32,0.152037351
1976,12,331.69,0.163667233
1977,1,332.94,0.174278438
1977,2,333.43,0.178438031
1977,3,334.71,0.189303905
1977,4,336.08,0.200933786
1977,5,336.76,0.206706282
1977,6,336.28,0.202631579
1977,7,334.93,0.191171477
1977,8,332.76,0.172750424
1977,9,331.6,0.162903226
1977,10,331.17,0.159252971
1977,11,332.41,0.169779287
1977,12,333.86,0.182088285
1978,1,334.98,0.191595925
1978,2,335.4,0.19516129
1978,3,336.65,0.205772496
1978,4,337.76,0.215195246
1978,5,338.02,0.217402377
1978,6,337.91,0.216468591
1978,7,336.55,0.204923599
1978,8,334.69,0.189134126
1978,9,332.77,0.172835314
1978,10,332.56,0.171052632
1978,11,333.93,0.182682513
1978,12,334.96,0.191426146
1979,1,336.24,0.20229202
1979,2,336.77,0.206791171
1979,3,337.97,0.216977929
1979,4,338.89,0.224787776
1979,5,339.48,0.229796265
1979,6,339.3,0.228268251
1979,7,337.74,0.215025467
1979,8,336.1,0.201103565
1979,9,333.93,0.182682513
